Hostname,MAC Address,Vendor,Status
LAPTOP-HMNRNVCC.SRMIST.EDU.IN,58:02:05:9b:fb:86,Unknown,Online
Unknown Device,70:15:fb:12:ba:6f,Unknown,Online
Unknown Device,06:ed:0b:4a:cd:16,Unknown,Online
Unknown Device,d4:63:de:c7:b0:a8,Unknown,Online
Unknown Device,ea:27:9f:0e:c6:1f,Unknown,Online
Unknown Device,7e:3c:b7:7f:4c:60,Unknown,Online
Unknown Device,56:1b:11:a8:25:c8,Unknown,Online
Unknown Device,a8:6a:86:cc:e2:6e,Unknown,Online
DESKTOP-51QREII,5c:80:b6:80:bb:91,Unknown,Online
Unknown Device,aa:b1:ad:f4:ee:01,Unknown,Online
Unknown Device,9e:bc:75:45:fc:b4,Unknown,Online
